SELENIUM Abs 200mcg 100'S,SELENIUM Abs 200mcg 100'S,1,MISC,NULL,22.65,NULL,0,0.15,-5038546883744726783,NULL,NULL,NULL,NULL
NULL,ACIVIR 400MG DT 50'S,3,MISC,NULL,2.18,NULL,5,0.15,-5038546879407816447,NULL,NULL,NULL,NULL
NULL,ACNE AID BAR  50G,4,MISC,NULL,14.91,NULL,33,0.15,-5038546879399427839,NULL,NULL,NULL,NULL
NULL,ACNE AID BAR 100G,5,MISC,NULL,8.98,NULL,18,0.15,-5038546879382650623,NULL,NULL,NULL,NULL
NULL,ACYLEX (ACICLOVIR ) SUSPENSION,8,MISC,NULL,45,NULL,0,0.15,-5038546879323930367,NULL,NULL,NULL,NULL
NULL,ADVIL 200MG 20'S,13,MISC,NULL,14,NULL,-44,0.15,-5038546874987020031,NULL,NULL,NULL,NULL
NULL,ALLEGRA 120MG 10'S,17,MISC,NULL,1.7,NULL,-140,0.15,-5038546874919911167,NULL,NULL,NULL,NULL
NULL,ALLEGRA 180MG 10'S,18,MISC,NULL,3,NULL,-307,0.15,-5038546874894745343,NULL,NULL,NULL,NULL
NULL,ALLEGRA SUSPENSION   100ML,19,MISC,NULL,16.78,NULL,-5,0.15,-5038546870591389439,NULL,NULL,NULL,NULL
NULL,GLUCOMOL (Timolol) 0.5% EYE DR,20,MISC,NULL,8.3,NULL,-1,0,-5038546870574612223,NULL,NULL,NULL,NULL
VIGAMOX EYE DROP (ALCON),VIGAMOX EYE DROP (ALCON),21,MISC,NULL,45.88,NULL,-6,0.15,-5038546870549446399,NULL,5ML,NULL,NULL
ACULAR EYE DROP 5ML,ACULAR EYE DROP 5ML,22,MISC,NULL,26.34,NULL,-51,0.15,-5038546870541057791,NULL,NULL,NULL,NULL
NULL,ALCON TEARS NATURALLE 10ML,23,MISC,NULL,19.78,NULL,-52,0.15,-5038546870515891967,NULL,NULL,NULL,NULL
NULL,AMOXCILLIN 500MG CAPS,29,MISC,NULL,0.65,NULL,-52,0.15,-5038546870482337535,NULL,500s,NULL,NULL
ADDED HYDROCOYISONE,ANUSOL CREAM 3 WAY ACTION,35,MISC,NULL,21.04,NULL,-5,0.15,-5038546866128649983,NULL,23g,NULL,NULL
"SHRINKS PILES, SOOTHES ITCHING AND RELIEVES DISCOMFORT",ANUSOL SUPP. 3 WAY ACTION,37,MISC,NULL,21.48,NULL,-12,0.15,-5038546866095095551,NULL,NULL,NULL,NULL
NULL,ARICEPT 10MG 28'S,41,MISC,NULL,10.26,NULL,82,0.15,-5038546861749796607,NULL,NULL,NULL,NULL
ARICEPT 5MG,ARICEPT 5MG,42,MISC,NULL,2.46,NULL,1045,0.15,-5038546861733019391,NULL,NULL,NULL,NULL
NULL,ARTHROTEC 50MG 20'S,48,MISC,NULL,1.54,NULL,0,0.15,-5038546857337388799,NULL,NULL,NULL,NULL
AUGMENTIN 457MG SYRUP,AUGMENTIN 457MG SYRUP,60,MISC,NULL,29.05,NULL,57,0.15,-5038546857295445759,NULL,70ML,NULL,NULL
AUGMENTIN TABS 625MG,AUGMENTIN TABS 625MG,62,MISC,NULL,2.06,NULL,-3276,0.15,-5038546857261891327,NULL,NULL,NULL,NULL
FIRST AID ANTIBIOTIC OINTMENT 14g,BACITRACIN OINTMENT,66,MISC,NULL,11.4,NULL,-6,0.15,-5038546852924980991,NULL,NULL,NULL,NULL
BECOPLEX + IRON CAPS 30'S TABS,BECOPLEX + IRON CAPS 30'S TABS,68,MISC,NULL,15.16,NULL,32,0.15,-5038546852891426559,NULL,30'S,NULL,NULL
BECOPLEX CAPS 30'S,BECOPLEX CAPS 30'S,69,MISC,NULL,16.16,NULL,29,0.15,-5038546852866260735,NULL,30'S,NULL,NULL
NULL,BENYLIN DM 60ML,73,MISC,NULL,8.54,NULL,0,0.15,-5038546848529350399,NULL,NULL,NULL,NULL
NULL,BETASALIC OINTMENT 15G,74,MISC,NULL,15.5,NULL,151,0.15,-5038546848512573183,NULL,NULL,NULL,NULL
NULL,BETNESOL DROPS 7.5ml,75,MISC,NULL,11.92,NULL,249,0.15,-5038546848495795967,NULL,NULL,NULL,NULL
NULL,BETNESOL N DROPS,76,MISC,NULL,11.92,NULL,255,0.15,-5038546848470630143,NULL,NULL,NULL,NULL
NULL,BETNOVATE C CREAM 30GM,77,MISC,NULL,20.35,NULL,-43,0.15,-5038546848453852927,NULL,NULL,NULL,NULL
NULL,BETNOVATE CREAM 5G,78,MISC,NULL,5.26,NULL,-3,0.15,-5038546848437075711,NULL,NULL,NULL,NULL
NULL,BETNOVATE N CREAM 20G,79,MISC,NULL,20,NULL,17,0.15,-5038546848428687103,NULL,NULL,NULL,NULL
NULL,BNT OINTMENT 15G,87,MISC,NULL,13.3,NULL,52,0.15,-5038546844041445119,NULL,NULL,NULL,NULL
NULL,BNT POWDER 15G,88,MISC,NULL,13.43,NULL,59,0.15,-5038546844033056511,NULL,15G,NULL,NULL
NULL,BONJELA PAIN RELIEF GEL,89,MISC,NULL,7.78,NULL,46,0.15,-5038546844007890687,NULL,NULL,NULL,NULL
NULL,BUSCOPAN 10MG,94,MISC,NULL,0.69,NULL,-7052,0.15,-5038546839629037311,NULL,20'S,NULL,NULL
NULL,CAFERGOT TABS 20'S,96,MISC,NULL,0.75,NULL,278,0.15,-5038546839620648703,NULL,NULL,NULL,NULL
NULL,CALPOL 6 PLUS SUSPENSION,101,MISC,NULL,16.17,NULL,-119,0.15,-5038546835241795327,NULL,80ML,NULL,NULL
NULL,CANDID B LOTION 20ML,103,MISC,NULL,18.26,NULL,-41,0.15,-5038546835208240895,NULL,NULL,NULL,NULL
NULL,CANESTEN CREAM 15G,104,MISC,NULL,14,NULL,-211,0.15,-5038546835191463679,NULL,NULL,NULL,NULL
NULL,CANESTEN TOPICAL CREAM 20G,105,MISC,NULL,12.91,NULL,-17,0.15,-5038546835174686463,NULL,NULL,NULL,NULL
CANESTEN V CREAM 6 DAY 30G,CANESTEN V CREAM 6 DAY 30G,106,MISC,NULL,23.36,NULL,139,0.15,-5038546835157909247,NULL,30G,NULL,NULL
CANESTEN VAG TABS,CANESTEN VAG TABS 6'S,107,MISC,NULL,21.96,NULL,102.88,0.15,-5038546835141132031,NULL,6'S,NULL,NULL
NULL,CANESTEN VAGINAL TABS 0.5g 1's,108,MISC,NULL,21.52,NULL,23,0.15,-5038546830829387519,NULL,NULL,NULL,NULL
NULL,CANTER (Clarithromycin ) 500mg,109,MISC,NULL,4.09,NULL,67,0.15,-5038546830804221695,NULL,NULL,NULL,NULL
NULL,CEFADROXIL 500MG (CEFADUR),114,MISC,NULL,0.56,NULL,-68,0.15,-5038546830753890047,NULL,NULL,NULL,NULL
NULL,cetaphill cleansing bar 127g,118,MISC,NULL,22.75,NULL,-2,0.15,-5038546826400202495,NULL,NULL,NULL,NULL
